ROW 49  1.1834787894218000D-03  1.0561239123590999D-03  1.8342159941688000D-03  1.9427861063303999D-03  2.4492853336848999D-03  3.9713293654816996D-03  3.3303201022948001D-03  3.1144374903308999D-03  2.3898637133832998D-03  1.5026318127578000D-03  6.0231774785339998D-04  4.8908531055910003D-04
ROW 50  1.2033070861765000D-03  1.1052993495880999D-03  1.8570951131205000D-03  1.9535193279662999D-03  2.4482667011158001D-03  3.8676966875917001D-03  3.2401410763520000D-03  3.0912159566130002D-03  2.3851460599625001D-03  1.5107400828075000D-03  6.0328770689979997D-04  5.2094967698809995D-04
ROW 51  1.2226465377397000D-03  1.1581480329856000D-03  1.8810461533627001D-03  1.9657037675759998D-03  2.4455463937901002D-03  3.7663171888316000D-03  3.1519153050727001D-03  3.0679653427483000D-03  2.3807705551844999D-03  1.5227486075136999D-03  6.0613887776880002D-04  5.5481472289340002D-04
ROW 52  1.2413706667795000D-03  1.2145226755110000D-03  1.9060601800316001D-03  1.9791775677153998D-03  2.4407084726289002D-03  3.6673363912332001D-03  3.0656654426662001D-03  3.0445322547983000D-03  2.3767175205403998D-03  1.5384263411906999D-03  6.1107766681039999D-04  5.9055156872199997D-04
ROW 53  1.2593639136874999D-03  1.2742321730772001D-03  1.9321171011497001D-03  1.9937669992795000D-03  2.4334078570540998D-03  3.5709959008012999D-03  2.9812695473349000D-03  3.0207270982918000D-03  2.3729624334378001D-03  1.5577183639491001D-03  6.1829517631259998D-04  6.2801008194220001D-04
ROW 54  1.2765744636792000D-03  1.3370441070885001D-03  1.9591850964965000D-03  2.0092879798419001D-03  2.4233827893612001D-03  3.4773010616387999D-03  2.8986970680907002D-03  2.9963561522580000D-03  2.3694766590608000D-03  1.5805707562587001D-03  6.2808488449549995D-04  6.6702365284570001D-04
ROW 55  1.2929303747071001D-03  1.4026881134901999D-03  1.9872202472801001D-03  2.0255476798465002D-03  2.4101348892298000D-03  3.3861565721296002D-03  2.8179075365913999D-03  2.9712535631244998D-03  2.3662367998665999D-03  1.6068930502296001D-03  6.4066638701620003D-04  7.0753857992429995D-04
ROW 56  1.3083883565915000D-03  1.4708600694367999D-03  2.0161663842955999D-03  2.0423461992074001D-03  2.3939052743827001D-03  3.2975255066604002D-03  2.7388552583034998D-03  2.9452393836159000D-03  2.3631978808636000D-03  1.6365596964251999D-03  6.5600516407110000D-04  7.4923744158699997D-04
ROW 57  1.3229447677292000D-03  1.5412270262811999D-03  2.0459551677688001D-03  2.0594786547874001D-03  2.3747827283882002D-03  3.2113374910164999D-03  2.6614930484367000D-03  2.9181388744466000D-03  2.3603214431168001D-03  1.6694116951268001D-03  6.7420361093369996D-04  7.9189214039220002D-04
ROW 58  1.3366441702112001D-03  1.6135434535950999D-03  2.0765064070885999D-03  2.0767305589841000D-03  2.3529300846555001D-03  3.1274925113481998D-03  2.5858183752599001D-03  2.8897873278093998D-03  2.3575696370893998D-03  1.7052583229101000D-03  6.9534121776059995D-04  8.3531382871249995D-04
ROW 59  1.3495252511483999D-03  1.6872844616302000D-03  2.1077286232609000D-03  2.0938762325040999D-03  2.3286038240371999D-03  3.0458647070468001D-03  2.5118693685753000D-03  2.8600347961954000D-03  2.3549041183688001D-03  1.7439240957752000D-03  7.1947520392000005D-04  8.7931795493869996D-04
ROW 60  1.3618743728303000D-03  1.7620448463519999D-03  2.1395198513217001D-03  2.1107053355461998D-03  2.3021439276122999D-03  2.9663061345814000D-03  2.4394738448556001D-03  2.8287505423094999D-03  2.3522866212498002D-03  1.7852760609411999D-03  7.4664184164759996D-04  9.2373630505209999D-04
ROW 61  1.3739487031290999D-03  1.8374380115931000D-03  2.1717748274005001D-03  2.1270096329481999D-03  2.2738699417445001D-03  2.8886599154741002D-03  2.3685950867090998D-03  2.7958270315912000D-03  2.3496794727322998D-03  1.8288263064481999D-03  7.7698169030280000D-04  9.6839122940640000D-04
